t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll
124279,-3,8,-1,5,-3,536,62,8238,-45,-30,-7,-3722,431
124291,5,0,-1,2,2,466,88,8269,-43,-31,-4,-3225,609
124312,1,-2,-1,-1,1,536,26,8185,-45,-26,-8,-3746,182
124324,0,-3,-5,-3,3,450,26,8190,-47,-32,-6,-3144,181
124336,0,1,2,0,-3,459,21,8159,-47,-32,-8,-3219,147
124357,0,3,2,1,2,507,-9,8252,-47,-31,-5,-3515,-62
124369,1,1,0,-1,-3,553,7,8212,-48,-32,-5,-3852,48
124381,-1,6,2,1,0,505,16,8133,-46,-31,-9,-3553,112
124402,2,0,1,-3,5,474,2,8164,-47,-28,-4,-3322,14
124414,-1,3,2,-1,-1,529,28,8121,-48,-33,-6,-3726,197
124426,0,-1,8,-1,-1,507,-33,8173,-47,-31,-6,-3549,-231
124447,3,0,2,-3,-1,567,11,8145,-47,-31,-7,-3982,77
124459,-1,1,3,1,-1,476,-14,8176,-44,-32,-6,-3331,-98
124471,-1,0,-3,2,4,519,2,8190,-45,-30,-8,-3625,13
124492,-3,9,0,8,8,466,11,8121,-45,-32,-6,-3284,77
124504,-1,0,0,0,6,574,11,8183,-47,-30,-6,-4012,77
124516,4,4,2,-5,1,462,-9,8161,-48,-29,-6,-3240,-63
124537,4,1,-1,0,2,474,-28,8224,-46,-30,-7,-3298,-195
124549,-1,1,-2,7,2,478,-35,8224,-49,-34,-8,-3326,-243
124561,4,1,-5,-3,-1,488,-11,8188,-49,-32,-8,-3410,-76
124582,-5,3,1,0,-1,488,35,8209,-49,-31,-5,-3402,244
124594,3,4,1,5,-4,555,-28,8236,-44,-32,-5,-3855,-194
124606,-1,4,1,-2,-1,529,28,8180,-46,-32,-9,-3700,196
124672,-1,-1,4,6,1,507,-2,8171,-43,-32,-8,-3550,-14
124684,-1,1,6,-1,3,512,9,8348,-44,-28,-6,-3509,61
124696,-3,2,2,8,8,464,50,8245,-43,-32,-3,-3220,347
124717,4,-1,-1,6,0,450,4,8157,-49,-30,-7,-3157,28
124729,0,3,8,3,0,538,-16,8209,-47,-31,-7,-3749,-111
124741,5,1,0,1,1,555,21,8195,-47,-29,-6,-3874,146
124762,4,0,0,3,-2,474,-40,8145,-45,-33,-9,-3330,-281
124774,2,-1,-1,-3,1,555,43,8248,-48,-33,-8,-3849,298
124786,-1,-11,1,5,3,577,-11,8226,-50,-31,-10,-4012,-76
124807,0,3,3,3,8,548,-102,8444,-50,-30,-13,-3712,-692
124819,-1,0,-1,-1,0,500,-31,8434,-39,-33,-8,-3392,-210
124831,3,4,5,4,1,351,-21,7814,-45,-31,-9,-2571,-153
124852,0,5,1,1,-4,423,-52,8312,-46,-34,-7,-2913,-358
124864,1,8,4,0,2,481,55,8130,-45,-31,0,-3385,387
124876,-2,1,-3,-5,-3,488,-19,8212,-45,-34,-3,-3400,-132
124897,7,4,-4,-1,-5,555,-33,8037,-46,-31,-6,-3950,-235
124909,-1,-2,0,0,1,366,-9,8377,-48,-29,-5,-2501,-61
124921,-1,2,3,-1,-1,593,-2,8092,-47,-33,-4,-4191,-14
124942,1,6,0,-3,-1,476,-21,8185,-45,-32,-5,-3328,-147
124954,4,5,3,1,3,548,26,8166,-47,-31,-4,-3839,182
124966,0,-1,4,9,12,588,59,8152,-46,-36,-6,-4125,414
124987,-4,6,6,1,6,651,52,8207,-46,-30,-7,-4535,363
124999,7,3,-2,4,-1,581,-2,8221,-45,-34,-6,-4042,-13
125011,2,4,2,4,-2,569,67,8245,-47,-30,-8,-3947,465
125032,-3,3,2,-3,0,512,38,8236,-46,-32,-8,-3557,264
125044,2,4,1,2,1,529,47,8161,-48,-33,-4,-3708,329
125056,2,1,-1,0,-1,519,28,8176,-48,-32,-10,-3632,196
125077,-1,-2,1,4,-3,423,21,8219,-45,-33,-10,-2946,146
125089,4,-3,0,5,-4,471,-59,8259,-47,-29,-8,-3263,-409
125101,-3,0,0,1,4,438,-71,8245,-48,-31,-3,-3040,-493
125122,3,4,2,1,1,538,-76,8209,-47,-30,-9,-3749,-530
125134,3,-6,0,4,3,502,-69,8135,-45,-33,-5,-3531,-485
125146,5,-5,4,2,-3,562,45,8185,-45,-31,-5,-3927,315
125167,3,4,0,1,5,620,21,8252,-44,-31,-7,-4296,145
125179,8,4,8,-5,4,574,31,8233,-50,-30,-7,-3988,215
125191,-1,1,3,1,0,624,57,8157,-45,-32,-7,-4374,400
125212,-1,1,4,2,0,545,124,8269,-46,-34,-10,-3770,859
125224,-1,8,3,2,-1,483,146,8219,-45,-32,-8,-3362,1017
125236,5,0,-1,0,-1,557,21,8267,-48,-32,-8,-3854,145
125257,-1,-1,-2,3,-1,471,-33,8176,-47,-33,-4,-3297,-231
125303,0,3,0,1,-1,524,-7,8101,-46,-34,-8,-3700,-49
125315,3,2,9,1,8,507,-19,8164,-44,-31,-5,-3553,-133
125326,-1,-1,-5,1,8,512,-7,8176,-46,-33,-8,-3583,-49
125348,-1,-1,2,-3,6,517,7,8121,-48,-35,-8,-3642,49
125360,3,3,3,4,1,495,-9,8209,-47,-32,-9,-3450,-62
125371,8,0,4,1,3,474,23,8212,-47,-31,-7,-3303,160
125393,5,-1,-2,2,3,531,-23,8190,-45,-31,-9,-3709,-160
125405,0,3,-2,0,4,533,64,8209,-46,-32,-6,-3714,446
125416,-1,-1,-2,-5,-1,543,43,8145,-45,-30,-6,-3814,302
125438,-3,4,3,-1,7,517,-33,8118,-45,-32,-9,-3643,-232
125450,-1,-1,6,-1,1,545,21,8164,-48,-32,-5,-3819,147
125462,4,3,0,2,-1,526,-23,8097,-47,-34,-5,-3716,-162
125483,-2,4,0,2,4,543,2,8183,-47,-33,-8,-3796,14
125495,1,0,0,-1,3,531,2,8109,-42,-31,-6,-3746,14
125506,2,1,2,1,-2,500,0,8224,-44,-34,-12,-3479,0
125528,-6,2,1,2,0,536,26,8200,-48,-32,-5,-3739,181
125540,-2,1,-3,8,-1,469,-16,8159,-47,-32,-6,-3289,-112
125572,0,-1,-1,6,-1,541,50,8226,-47,-32,-8,-3762,348
125584,5,0,-2,1,4,521,26,8226,-46,-32,-6,-3624,181
125596,-2,-5,1,-1,4,416,-55,8202,-47,-33,-7,-2903,-384
125617,4,-1,2,2,1,598,2,8116,-48,-31,-5,-4214,14
125629,4,2,6,5,-2,565,28,8183,-47,-34,-9,-3949,196
125641,-1,3,4,3,-1,517,33,8236,-48,-33,-6,-3591,229
125662,-3,2,1,4,-4,447,38,8190,-44,-30,-9,-3123,265
125674,4,-44,0,2,-1,531,16,8264,-50,-34,-11,-3676,110
125686,-1,2,0,0,-5,476,-19,8154,-44,-33,-8,-3340,-133
125707,-1,-1,6,2,10,581,-28,8164,-49,-31,-7,-4070,-196
125719,2,-5,5,-2,-1,500,-4,8135,-47,-31,-7,-3517,-28
125731,4,-3,1,1,-2,481,-40,8250,-48,-30,-9,-3336,-277
125752,1,-5,2,6,-2,514,43,8269,-48,-31,-8,-3556,297
125764,0,4,2,0,-1,519,-16,8209,-46,-31,-9,-3617,-111
125776,2,7,-1,-1,4,553,19,8200,-44,-31,-7,-3858,132
125797,4,2,3,4,4,500,38,8066,-49,-28,-9,-3547,269
125809,-3,-3,2,0,6,495,88,8190,-46,-30,-12,-3458,615
125821,2,1,-5,-1,-1,507,14,8166,-47,-33,-8,-3552,98
125842,0,-1,4,2,1,435,0,8212,-48,-32,-12,-3032,0
125854,-1,-1,-1,-5,1,454,-28,8252,-49,-31,-7,-3149,-194
125866,1,-1,0,1,-1,423,-38,8295,-44,-33,-11,-2919,-262
125887,-5,4,-1,1,4,430,-38,8212,-49,-33,-8,-2997,-265
125899,4,1,4,-1,0,428,-69,8202,-46,-33,-6,-2987,-481
125911,-1,4,-1,4,-3,507,-81,8200,-46,-33,-9,-3537,-565
125932,-3,4,2,2,5,569,-69,8238,-47,-33,-9,-3951,-479
125944,-1,2,4,7,0,545,-21,8082,-44,-32,-8,-3857,-148
125956,8,-1,-4,1,4,620,-28,8267,-48,-31,-5,-4288,-194
125977,-1,1,-1,1,2,574,102,8216,-46,-32,-3,-3996,711
125989,-1,0,2,2,-3,617,50,8135,-46,-32,-9,-4337,352
126001,3,3,-1,1,4,476,-35,8233,-48,-33,-9,-3308,-243
126022,0,-1,0,-3,2,545,31,8207,-48,-30,-9,-3799,216
126034,4,1,-1,-1,6,519,-11,8130,-48,-30,-11,-3652,-77
126046,3,-3,2,-3,0,428,-7,8176,-47,-30,-9,-2996,-49
126067,-1,-1,-2,5,-1,471,-11,8197,-46,-33,-6,-3288,-76
126079,0,-5,-3,2,2,409,0,8101,-47,-32,-7,-2890,0
126091,-1,2,-1,5,-2,433,-35,8149,-45,-33,-7,-3041,-246
126112,4,2,6,-1,-4,471,-2,8104,-47,-30,-4,-3326,-14
126157,6,1,-3,-3,-2,476,14,8197,-45,-31,-5,-3323,97
126169,2,1,-1,-5,-1,555,-4,8161,-46,-32,-6,-3890,-28
126181,-9,0,-3,4,2,569,52,8212,-45,-30,-6,-3963,362
126202,0,1,-1,-2,-5,521,-14,8169,-49,-33,-6,-3649,-98
126214,-2,-2,3,-5,-2,581,14,8204,-47,-33,-9,-4050,97
126226,1,1,3,3,-3,553,33,8200,-47,-33,-3,-3858,230
126247,0,8,1,2,2,457,35,8169,-46,-33,-6,-3201,245
126259,5,2,4,-1,4,560,-16,8161,-47,-32,-3,-3925,-112
126271,-5,2,-1,-2,-2,531,-38,8190,-48,-32,-8,-3709,-265
126292,2,3,0,1,0,447,-26,8164,-45,-33,-6,-3133,-182
126304,4,2,-2,-1,1,481,0,8267,-46,-32,-8,-3329,0
126316,7,8,3,1,3,450,-4,8161,-45,-32,-7,-3156,-28
126337,3,3,5,-4,4,466,9,8207,-48,-30,-2,-3249,62
126349,1,2,1,2,-1,512,-9,8243,-46,-32,-6,-3554,-62
126361,-2,2,-5,2,1,397,-21,8173,-47,-31,-4,-2780,-147
126382,1,5,2,6,-1,435,-28,8166,-47,-31,-5,-3049,-196
126394,-5,0,0,-3,6,497,14,8135,-48,-32,-1,-3496,98
126427,-1,6,2,2,3,507,-14,8324,-47,-31,-5,-3485,-96
126439,6,-1,-2,5,3,409,7,8394,-48,-29,-4,-2789,47
126451,-1,8,3,-2,0,610,86,8099,-43,-34,-7,-4307,608
126472,2,0,-3,-2,0,648,45,8101,-46,-35,-10,-4573,318
126484,1,2,-1,1,0,526,57,8248,-46,-32,-8,-3648,395
126496,-1,-1,3,-1,2,572,50,8200,-45,-34,-9,-3990,349
126517,11,-3,6,-2,1,435,-79,8214,-47,-31,-7,-3031,-551
126529,-1,4,2,1,-1,426,-26,8228,-50,-32,-9,-2963,-181
126541,4,12,2,1,-1,409,0,8204,-48,-34,-7,-2854,0
126562,5,4,-1,0,1,445,9,8255,-45,-31,-9,-3085,62
126574,1,0,5,-1,0,433,-7,8204,-47,-33,-6,-3021,-48
126586,2,-1,-1,1,4,493,40,8188,-44,-30,-8,-3445,279
126607,8,-1,4,5,4,488,-55,8123,-46,-32,-5,-3437,-387
126619,-1,5,-1,-2,-5,490,-7,8269,-43,-32,-9,-3391,-48
126631,-1,-3,-1,-3,-1,557,7,8257,-49,-31,-4,-3859,48
126652,5,5,-1,-1,-1,521,-33,8171,-47,-31,-7,-3648,-231
126664,-1,-1,2,-1,-1,600,-43,8111,-44,-32,-10,-4230,-303
126676,0,3,1,2,3,562,16,8231,-49,-32,-1,-3905,111
126697,1,3,-8,2,4,490,-31,8145,-47,-29,-12,-3442,-218
126709,-5,3,2,1,3,490,-62,8157,-45,-32,-8,-3437,-435
126721,-2,4,-3,6,1,450,21,8264,-47,-33,-10,-3116,145
126742,-1,-1,-2,4,8,471,26,8135,-47,-34,-8,-3313,183
126832,-5,2,1,-1,-1,507,64,8231,-47,-30,-3,-3524,445
126844,0,2,-1,1,-2,555,76,8145,-50,-31,-6,-3897,534
126856,-1,0,2,2,0,529,11,8190,-49,-29,-11,-3695,76
126877,4,3,4,-2,-2,476,23,8147,-45,-33,-11,-3343,161
126889,-5,1,-3,2,-2,502,2,8188,-46,-34,-7,-3508,13
126901,-9,3,-5,2,-1,507,0,8080,-47,-29,-5,-3590,0
126923,2,2,4,6,0,509,-57,8216,-47,-31,-5,-3544,-397
126935,2,2,-3,4,0,500,-23,8197,-47,-33,-5,-3490,-160
126946,-1,4,0,-2,0,565,21,8180,-47,-34,-5,-3951,147
126968,-1,2,-1,4,2,572,2,8106,-47,-35,-6,-4036,14
126980,1,-5,0,-2,0,519,19,8231,-45,-32,-7,-3607,132
126991,4,0,-5,-6,0,469,52,8212,-48,-31,-9,-3268,362
127013,4,4,2,-2,-1,531,4,8140,-45,-31,-7,-3732,28
127025,-1,4,4,4,1,459,-52,8185,-48,-31,-11,-3209,-364
127036,-1,-3,-5,2,4,493,59,8233,-46,-30,-9,-3426,410
127058,2,5,4,8,2,562,50,8140,-47,-30,-8,-3949,351
127070,-5,8,1,-1,6,555,14,8195,-45,-32,-8,-3874,97
127102,8,5,1,2,-1,560,-38,8298,-48,-29,-10,-3860,-262
127114,-3,1,2,5,2,493,31,8082,-46,-31,-8,-3490,219
127126,-4,-3,-2,-1,4,452,-4,8243,-47,-30,-7,-3138,-27
127147,-3,-1,1,0,1,454,-23,8207,-48,-30,-7,-3166,-160
127159,1,2,-3,4,-3,476,26,8195,-49,-34,-10,-3324,181
127171,-2,9,1,2,2,481,-4,8116,-47,-32,-3,-3391,-28
127192,1,7,0,-3,4,488,-4,8200,-48,-31,-4,-3405,-27
127204,3,0,2,1,5,457,-11,8106,-50,-30,-8,-3226,-77
127216,0,8,1,0,-2,512,50,8202,-45,-33,-7,-3571,349
127237,4,1,5,4,3,529,-52,8312,-46,-29,-6,-3641,-358
127249,6,1,-1,6,4,478,21,8130,-44,-33,-4,-3364,147
127261,4,-1,-5,2,1,744,76,8123,-46,-34,-5,-5232,536
127282,1,6,3,0,3,500,52,8257,-43,-33,-4,-3465,360
127294,-9,-2,-7,4,-1,512,45,8173,-46,-36,-6,-3584,315
127306,5,-2,3,-4,1,567,50,8221,-45,-35,-7,-3945,348
127327,-2,-1,1,3,-1,569,0,8161,-47,-32,-8,-3988,0
127339,-1,2,-3,0,1,512,-31,8228,-45,-34,-5,-3560,-215
127351,-1,-5,2,2,2,500,35,8161,-44,-31,-5,-3505,245
127372,4,-2,6,2,1,486,-31,8221,-45,-29,-7,-3383,-216
127384,5,1,0,-1,-2,490,-23,8176,-47,-31,-7,-3429,-161
127417,8,1,2,-1,2,533,11,8255,-45,-31,-6,-3694,76
127429,2,2,5,0,-1,495,74,8271,-45,-33,-2,-3424,512
127441,-1,-2,-2,2,3,500,79,8092,-45,-33,-9,-3535,559
127462,-1,-1,-1,3,2,560,100,8113,-46,-33,-6,-3948,706
127474,4,4,1,3,-3,519,31,8159,-48,-31,-9,-3639,217
127486,-3,4,1,-3,2,538,14,8192,-48,-30,-6,-3757,97
